Date,State,Total Confirmed Cases,Cured/Discharged/Migrated,Death
30-01-2020,Kerala,1.0,5344.258410531448,254.85641150658216
02-02-2020,Kerala,2.0,5344.258410531448,254.85641150658216
03-02-2020,Kerala,3.0,5344.258410531448,254.85641150658216
02-03-2020,Kerala,3.0,5344.258410531448,254.85641150658216
02-03-2020,Delhi,1.0,5344.258410531448,254.85641150658216
02-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
03-03-2020,Kerala,3.0,5344.258410531448,254.85641150658216
03-03-2020,Delhi,1.0,5344.258410531448,254.85641150658216
03-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
03-03-2020,Rajasthan,1.0,5344.258410531448,254.85641150658216
04-03-2020,Haryana,14.0,5344.258410531448,254.85641150658216
04-03-2020,Uttar Pradesh,6.0,5344.258410531448,254.85641150658216
04-03-2020,Kerala,3.0,5344.258410531448,254.85641150658216
04-03-2020,Rajasthan,3.0,5344.258410531448,254.85641150658216
04-03-2020,Delhi,1.0,5344.258410531448,254.85641150658216
04-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
05-03-2020,Haryana,14.0,5344.258410531448,254.85641150658216
05-03-2020,Uttar Pradesh,6.0,5344.258410531448,254.85641150658216
05-03-2020,Kerala,3.0,5344.258410531448,254.85641150658216
05-03-2020,Rajasthan,3.0,5344.258410531448,254.85641150658216
05-03-2020,Delhi,3.0,5344.258410531448,254.85641150658216
05-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
06-03-2020,Haryana,14.0,5344.258410531448,254.85641150658216
06-03-2020,Uttar Pradesh,6.0,5344.258410531448,254.85641150658216
06-03-2020,Kerala,3.0,5344.258410531448,254.85641150658216
06-03-2020,Rajasthan,3.0,5344.258410531448,254.85641150658216
06-03-2020,Delhi,4.0,5344.258410531448,254.85641150658216
06-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
07-03-2020,Haryana,14.0,5344.258410531448,254.85641150658216
07-03-2020,Uttar Pradesh,6.0,5344.258410531448,254.85641150658216
07-03-2020,Kerala,3.0,5344.258410531448,254.85641150658216
07-03-2020,Rajasthan,3.0,5344.258410531448,254.85641150658216
07-03-2020,Delhi,4.0,5344.258410531448,254.85641150658216
07-03-2020,Ladakh,2.0,5344.258410531448,254.85641150658216
07-03-2020,Tamil Nadu,1.0,5344.258410531448,254.85641150658216
07-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
07-03-2020,Andhra Pradesh,1.0,5344.258410531448,254.85641150658216
07-03-2020,Bihar,1.0,5344.258410531448,254.85641150658216
08-03-2020,Haryana,14.0,5344.258410531448,254.85641150658216
08-03-2020,Uttar Pradesh,6.0,5344.258410531448,254.85641150658216
08-03-2020,Kerala,8.0,5344.258410531448,254.85641150658216
08-03-2020,Rajasthan,3.0,5344.258410531448,254.85641150658216
08-03-2020,Delhi,4.0,5344.258410531448,254.85641150658216
08-03-2020,Ladakh,2.0,5344.258410531448,254.85641150658216
08-03-2020,Tamil Nadu,1.0,5344.258410531448,254.85641150658216
08-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
08-03-2020,Andhra Pradesh,1.0,5344.258410531448,254.85641150658216
08-03-2020,Bihar,1.0,5344.258410531448,254.85641150658216
09-03-2020,Haryana,14.0,5344.258410531448,254.85641150658216
09-03-2020,Uttar Pradesh,7.0,5344.258410531448,254.85641150658216
09-03-2020,Kerala,9.0,5344.258410531448,254.85641150658216
09-03-2020,Rajasthan,3.0,5344.258410531448,254.85641150658216
09-03-2020,Delhi,5.0,5344.258410531448,254.85641150658216
09-03-2020,Ladakh,2.0,5344.258410531448,254.85641150658216
09-03-2020,Tamil Nadu,1.0,5344.258410531448,254.85641150658216
09-03-2020,Telangana,1.0,5344.258410531448,254.85641150658216
09-03-2020,Andhra Pradesh,1.0,5344.258410531448,254.85641150658216
09-03-2020,Bihar,1.0,5344.258410531448,254.85641150658216
